sic,office,industry
6552,Real Estate & Construction,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES)
6770,Real Estate & Construction,BLANK CHECKS
6792,Real Estate & Construction,OIL ROYALTY TRADERS
6794,Real Estate & Construction,PATENT OWNERS & LESSORS
6795,Real Estate & Construction,MINERAL ROYALTY TRADERS
6798,Real Estate & Construction,REAL ESTATE INVESTMENT TRUSTS
6799,Real Estate & Construction,"INVESTORS, NEC"
7000,Real Estate & Construction,"HOTELS, ROOMING HOUSES, CAMPS & OTHER LODGING PLACES"
7011,Real Estate & Construction,HOTELS & MOTELS
7200,Trade & Services,SERVICES-PERSONAL SERVICES
7310,Trade & Services,SERVICES-ADVERTISING
7311,Trade & Services,SERVICES-ADVERTISING AGENCIES
7320,Trade & Services,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES"
7330,Trade & Services,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY"
7331,Trade & Services,SERVICES-DIRECT MAIL ADVERTISING SERVICES
7340,Trade & Services,SERVICES-TO DWELLINGS & OTHER BUILDINGS
7350,Trade & Services,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING
7359,Trade & Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC"
7361,Trade & Services,SERVICES-EMPLOYMENT AGENCIES
7363,Trade & Services,SERVICES-HELP SUPPLY SERVICES
7370,Technology,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
7371,Technology,SERVICES-COMPUTER PROGRAMMING SERVICES
7372,Technology,SERVICES-PREPACKAGED SOFTWARE
